,City Name,Latitude,Longitude,Temperature (Farenheit),Humidity %,Cloudiness %,Wind Speed (MPH),Country,Date
0,Tuatapere,-46.13,167.68,54.0,62,99,13.0,NZ,1600696822
1,Correntina,-13.34,-44.64,95.38,23,53,6.44,BR,1600696822
2,Jinchang,38.5,102.17,56.68,77,100,12.48,CN,1600696822
3,Upernavik,72.79,-56.15,28.96,93,100,6.06,GL,1600696823
4,Vaini,-21.2,-175.2,71.6,83,75,9.17,TO,1600696823
5,Quatre Cocos,-20.21,57.76,74.05,64,40,18.34,MU,1600696823
6,Bluff,-46.6,168.33,54.0,62,100,13.0,NZ,1600696824
7,Waitati,-45.75,170.57,47.75,90,0,1.99,NZ,1600696824
8,Mar del Plata,-38.0,-57.56,48.42,61,75,8.05,AR,1600696824
9,Olafsvik,64.89,-23.71,42.66,73,98,25.7,IS,1600696825
10,Bengkulu,-3.8,102.27,75.16,94,100,2.73,ID,1600696825
11,Atuona,-9.8,-139.03,78.67,71,6,21.21,PF,1600696649
12,Barrow,71.29,-156.79,32.7,97,100,18.32,US,1600696825
13,Ushuaia,-54.8,-68.3,41.0,80,75,5.7,AR,1600696826
14,Thompson,55.74,-97.86,53.6,100,75,3.36,CA,1600696807
15,Yellowknife,62.46,-114.35,37.4,100,90,9.17,CA,1600696566
16,Shambu,9.57,37.1,61.41,98,30,0.58,ET,1600696826
17,Arman',59.7,150.17,37.17,74,0,5.79,RU,1600696827
18,Avarua,-21.21,-159.78,73.4,94,43,2.24,CK,1600696827
19,Saint-Philippe,-21.36,55.77,70.11,53,9,5.82,RE,1600696827
20,Cape Town,-33.93,18.42,64.11,48,0,13.87,ZA,1600696820
21,Zharkent,44.16,80.0,65.03,33,0,4.03,KZ,1600696827
22,Baykit,61.67,96.37,44.01,85,9,3.53,RU,1600696828
23,Tabuk,17.42,121.44,76.1,88,7,3.24,PH,1600696673
24,Punta Arenas,-53.15,-70.92,41.0,93,75,2.24,CL,1600696577
25,Esperance,-33.87,121.9,48.2,93,40,6.93,AU,1600696828
26,Hithadhoo,-0.6,73.08,82.29,76,100,15.1,MV,1600696765
27,Chokurdakh,70.63,147.92,38.5,86,0,8.93,RU,1600696829
28,Kattivākkam,13.22,80.32,86.0,66,75,4.7,IN,1600696829
29,George Town,5.41,100.34,85.14,74,20,4.7,MY,1600696829
30,Benjamín Aceval,-24.97,-57.57,69.8,43,22,16.11,PY,1600696830
